,FinalID,Consumer,StandardisedTraitName,StandardisedTraitValue,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,Citation,uniqueID,Temp(kel),1/kT,log_TraitValues,B0,E,Eh,El,Th,Tl,index
0,MTD3161,Cladophora glomerata,respiration rate,7414.596576000001,1,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,274.15,42.32909761269212,8.911205846618582,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
1,MTD3161,Cladophora glomerata,respiration rate,1.21035792,5,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,278.15,41.720374296313295,0.19091611752085894,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
2,MTD3161,Cladophora glomerata,respiration rate,0.7394825279999999,10,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,283.15,40.983655696696246,-0.3018046238852472,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
3,MTD3161,Cladophora glomerata,respiration rate,0.74649216,15,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,288.15,40.2725042877652,-0.29237016440231534,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
4,MTD3161,Cladophora glomerata,respiration rate,1.79866308,20,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,293.15,39.58561183871582,0.5870436556057304,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
5,MTD3161,Cladophora glomerata,respiration rate,1.7839212,25,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,298.15,38.92175787529614,0.5788138627786892,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
6,MTD3161,Cladophora glomerata,respiration rate,2.40062616,30,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,303.15,38.279802442749606,0.8757296033254134,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
7,MTD3161,Cladophora glomerata,respiration rate,2.05961016,35,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",1,308.15,37.6586795733232,0.7225167221743805,0.7394825279999999,0.66,0.8852753422191656,0.33,42.32909761269212,37.6586795733232,0.0
8,MTD3164,Cladophora glomerata,respiration rate,14397.60096,1,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",2,274.15,42.32909761269212,9.57481687168477,0.80661624,0.66,0.8458074207210565,0.33,42.32909761269212,37.6586795733232,0.0
9,MTD3164,Cladophora glomerata,respiration rate,0.864427776,5,celsius,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,glomerata,108.0,mg,"Graham, J. M., Auer, M. T., Canale, R. P., & Hoffmann, J. P. (1982). Ecological Studies and Mathematical Modeling of Cladophora in Lake Huron: 4. Photosynthesis and Respiration as Functions of Light and Temperature. Journal of Great Lakes Research, 8(1), 100_111.",2,278.15,41.720374296313295,-0.14568752159403517,0.80661624,0.66,0.8458074207210565,0.33,42.32909761269212,37.6586795733232,0.0
