,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,uniqueID,Temp(kel),1/kT,log_TraitValues,B0,E,Eh,El,Th,Tl,index
0,MTD2169,Salmonella enterica,Population Growth Rate,0.3995,event / (1 individual * 24 hour),4.62384259259259e-06,event / (individual * second),10.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,283.15,40.983655696696246,-12.284284468567956,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
1,MTD2169,Salmonella enterica,Population Growth Rate,0.7974,event / (1 individual * 24 hour),9.22916666666667e-06,event / (individual * second),20.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,293.15,39.58561183871582,-11.593141798827029,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
2,MTD2169,Salmonella enterica,Population Growth Rate,2.1283,event / (1 individual * 24 hour),2.46331018518518e-05,event / (individual * second),30.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,303.15,38.279802442749606,-10.611419415805528,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
3,MTD2169,Salmonella enterica,Population Growth Rate,2.4104,event / (1 individual * 24 hour),2.7898148148148198e-05,event / (individual * second),34.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,307.15,37.78128637642697,-10.486950245958191,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
4,MTD2169,Salmonella enterica,Population Growth Rate,2.45,event / (1 individual * 24 hour),2.83564814814815e-05,event / (individual * second),35.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,308.15,37.6586795733232,-10.470654930235511,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
5,MTD2169,Salmonella enterica,Population Growth Rate,2.4834,event / (1 individual * 24 hour),2.8743055555555604e-05,event / (individual * second),36.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,309.15,37.536865956718565,-10.45711436579154,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
6,MTD2169,Salmonella enterica,Population Growth Rate,2.4714,event / (1 individual * 24 hour),2.86041666666667e-05,event / (individual * second),37.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,310.15,37.41583785432708,-10.461958163104192,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
7,MTD2169,Salmonella enterica,Population Growth Rate,2.3414,event / (1 individual * 24 hour),2.7099537037036998e-05,event / (individual * second),39.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,312.15,37.17610799461651,-10.515993913728714,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
8,MTD2169,Salmonella enterica,Population Growth Rate,1.5330000000000001,event / (1 individual * 24 hour),1.77430555555556e-05,event / (individual * second),41.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,enterica,,,1,314.15,36.93943056030413,-10.939516354902468,4.62384259259259e-06,-0.5585642437723954,0.7726861216958556,-0.2792821218861977,37.536865956718565,36.93943056030413,0.0
9,MTD2170,Escherichia coli,Population Growth Rate,0.5067,event / (1 individual * 24 hour),5.86458333333333e-06,event / (individual * second),10.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,283.15,40.983655696696246,-12.046579121292421,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
10,MTD2170,Escherichia coli,Population Growth Rate,1.0352,event / (1 individual * 24 hour),1.19814814814815e-05,event / (individual * second),20.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,293.15,39.58561183871582,-11.332148310027646,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
11,MTD2170,Escherichia coli,Population Growth Rate,1.9546,event / (1 individual * 24 hour),2.26226851851852e-05,event / (individual * second),30.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,303.15,38.279802442749606,-10.696557385869548,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
12,MTD2170,Escherichia coli,Population Growth Rate,2.3031,event / (1 individual * 24 hour),2.665625e-05,event / (individual * second),34.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,307.15,37.78128637642697,-10.532486913272322,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
13,MTD2170,Escherichia coli,Population Growth Rate,2.4055,event / (1 individual * 24 hour),2.78414351851852e-05,event / (individual * second),35.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,308.15,37.6586795733232,-10.488985172634775,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
14,MTD2170,Escherichia coli,Population Growth Rate,2.4525,event / (1 individual * 24 hour),2.8385416666666698e-05,event / (individual * second),36.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,309.15,37.536865956718565,-10.469635042334765,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
15,MTD2170,Escherichia coli,Population Growth Rate,2.4675,event / (1 individual * 24 hour),2.85590277777778e-05,event / (individual * second),37.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,310.15,37.41583785432708,-10.463537462466647,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
16,MTD2170,Escherichia coli,Population Growth Rate,2.366,event / (1 individual * 24 hour),2.73842592592593e-05,event / (individual * second),39.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,312.15,37.17610799461651,-10.50554218923595,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
17,MTD2170,Escherichia coli,Population Growth Rate,2.0955,event / (1 individual * 24 hour),2.4253472222222198e-05,event / (individual * second),41.0,celsius,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,,,2,314.15,36.93943056030413,-10.62695076640916,5.86458333333333e-06,-0.4526374383237978,1.7394627027149094,-0.2263187191618989,37.41583785432708,36.47500270476047,0.0
