,FinalID,Consumer,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,StandardisedTraitValue,StandardisedTraitUnit,ConTemp,ConTempUnit,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,ConSize,ConSizeUnit,uniqueID,GenusSpecies,MinVolume,MaxVolume,AverageVolume,VolumeUnit,Temp(kel),1/kT,log_TraitValues,B0,E,Eh,El,Th,Tl,index
0,MTD4953,Pyrococcus abyssi,specific Growth,0.00214403,h^-1,6e-07,s^-1,68.0382,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,341.1882,34.012085149836786,-14.326336181730264,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
1,MTD4953,Pyrococcus abyssi,specific Growth,0.15011300000000002,h^-1,4.1700000000000004e-05,s^-1,72.0627,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,345.2127,33.615571242076385,-10.085009429159518,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
2,MTD4953,Pyrococcus abyssi,specific Growth,0.392563,h^-1,0.00010905,s^-1,76.9761,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,350.12609999999995,33.14383620792493,-9.123704065316636,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
3,MTD4953,Pyrococcus abyssi,specific Growth,0.573789,h^-1,0.00015939,s^-1,80.1162,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,353.26619999999997,32.84922845865113,-8.744156528833313,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
4,MTD4953,Pyrococcus abyssi,specific Growth,0.977184,h^-1,0.00027144,s^-1,85.1036,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,358.2536,32.39192044551553,-8.2117694374883,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
5,MTD4953,Pyrococcus abyssi,specific Growth,1.20686,h^-1,0.00033524,s^-1,90.0847,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,363.2347,31.947724461675996,-8.00066386473357,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
6,MTD4953,Pyrococcus abyssi,specific Growth,1.2602,h^-1,0.00035006,s^-1,96.0131,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,369.1631,31.43467510842645,-7.957405989601584,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
7,MTD4953,Pyrococcus abyssi,specific Growth,1.0351700000000001,h^-1,0.00028755,s^-1,100.16,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,373.30999999999995,31.085484210226205,-8.154113799804511,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
8,MTD4953,Pyrococcus abyssi,specific Growth,0.163938,h^-1,4.55e-05,s^-1,101.491,Celsius,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,abyssi,,,1,Pyrococcus abyssi,2.68e-19,4.19e-18,2.23e-18,m^3,374.64099999999996,30.97504573850578,-9.99779823200737,6e-07,-2.0113301045724774,3.5036513172474573,-1.0056650522862387,31.43467510842645,30.97504573850578,0.0
9,MTD4962,Methanogenium frigidum,Specific Growth,0.0325671,d^-1,3.8e-07,s^-1,0.0341024,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,2,Methanogenium frigidum,9.05e-19,8.18e-18,4.5400000000000005e-18,m^3,273.1841024,42.4787606913086,-14.78309458422598,1.91e-06,-1.2837214194856705,0.42243553812788953,-0.6418607097428353,40.98751343016937,39.726154204485816,0.0
10,MTD4962,Methanogenium frigidum,Specific Growth,0.026402600000000002,d^-1,3.1e-07,s^-1,0.0359491,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,2,Methanogenium frigidum,9.05e-19,8.18e-18,4.5400000000000005e-18,m^3,273.18594909999996,42.478473540642085,-14.98669353946722,1.91e-06,-1.2837214194856705,0.42243553812788953,-0.6418607097428353,40.98751343016937,39.726154204485816,0.0
11,MTD4962,Methanogenium frigidum,Specific Growth,0.0990008,d^-1,1.15e-06,s^-1,4.04929,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,2,Methanogenium frigidum,9.05e-19,8.18e-18,4.5400000000000005e-18,m^3,277.19928999999996,41.863462603095215,-13.675748615589116,1.91e-06,-1.2837214194856705,0.42243553812788953,-0.6418607097428353,40.98751343016937,39.726154204485816,0.0
12,MTD4962,Methanogenium frigidum,Specific Growth,0.0907816,d^-1,1.05e-06,s^-1,4.05175,Celsius,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,frigidum,,,2,Methanogenium frigidum,9.05e-19,8.18e-18,4.5400000000000005e-18,m^3,277.20175,41.8630910898634,-13.766720393794841,1.91e-06,-1.2837214194856705,0.42243553812788953,-0.6418607097428353,40.98751343016937,39.726154204485816,0.0
